Category;Item;Qty;Unit Cost (SEK);Total (SEK)
VR Equipment;VR Headsets (Meta Quest or HTC);8;7500;60000
VR Equipment;Gaming PCs;8;15000;120000
VR Equipment;Controllers + Sensors;8;3000;24000
VR Equipment;Safety Mats;1;8000;8000
;Subtotal;;;212000
Furniture & Setup;Lounge Furniture;-;-;30000
Furniture & Setup;Reception & Lockers;-;-;15000
Furniture & Setup;Lighting & Decor;-;-;25000
;Subtotal;;;70000
Software & Licenses;VR Game Licenses (Commercial);-;-;10000
Software & Licenses;Booking System;-;-;5000
Software & Licenses;Admin/Accounting Tools;-;-;3000
;Subtotal;;;18000
Marketing;Ads (Meta, TikTok, IG, Google);-;-;5000
Marketing;Posters & School Promos;-;-;2000
;Subtotal;;;7000
TOTAL STARTUP COSTS;;;;307Â 000